grupos2,grupos,sin_agua,capacidad,densidad,grado_con,frecuencia,volumen,frec_cat,prec_cat,vol_cat,is50,precip,id
7,3,132,7117740.0,76.221,0,7,4.5821,2,3,1,0.00482,699.2708,74
7,3,53,0.0,0.0,0,10,45.0075,2,3,3,0.01178,707.125,75
7,3,154,10195081.6,30.815,10,8,6.5719,2,3,1,0.00577,708.087,76
3,2,58,3581779.9,46.238,0,1,0.0125,1,3,1,0.0,719.3333,77
7,3,189,30449916.3,45.094,13,7,108.4357,2,3,4,0.01719,711.7946,78
8,4,74,3560300.0,10.543,7,18,126.4493,2,4,4,0.02718,749.9211,79
8,4,140,5762217.0,18.196,8,16,99.3852,2,4,4,0.02253,745.0197,80
11,4,109,10034680.0,47.104,0,49,10.1242,3,3,2,0.03544,686.8672,81
3,2,72,0.0,0.0,0,2,9.0063,1,3,2,0.00178,684.875,82
8,4,0,24249456.7,66.424,6,15,8.0425,2,4,2,0.01094,727.0326,83
4,3,322,2023938.1,7.392,7,3,0.0125,1,4,1,0.00143,729.7688,84
3,2,154,0.0,0.0,0,2,45.0063,1,3,3,0.00607,672.1875,85
3,2,82,30177235.4,410.032,0,2,45.0063,1,3,3,0.00607,673.7708,86
3,2,12,106077214.4,542.691,1,2,175.0,1,3,4,0.02155,652.0893,87
10,3,112,38161731.0,22.711,4,39,28.8676,3,2,3,0.03054,638.6798,88
15,5,84,5207860.0,72.132,7,70,107.0416,4,3,4,0.06196,693.5357,89
3,2,104,5004346.0,102.833,2,3,8.0083,1,3,2,0.00238,695.5,90
12,5,173,66358269.7,95.497,7,35,23.2232,3,4,3,0.02701,734.5568,91
11,4,34,16880621.5,64.796,0,35,23.2232,3,3,3,0.02701,724.7333,92
11,4,85,23010270.0,77.775,0,35,23.2232,3,3,3,0.02701,717.7188,93
11,4,474,67559365.0,147.915,3,35,23.2232,3,3,3,0.02701,707.765,94
11,4,462,630845.0,1.335,1,35,23.2232,3,3,3,0.02701,696.9833,95
11,4,65,265678196.0,962.282,22,38,32.9033,3,3,3,0.03031,661.2313,96
7,3,210,718077932.0,2317.121,0,16,9.9594,2,3,2,0.01188,657.0987,97
7,3,704,74551700.0,151.427,0,16,9.9594,2,3,2,0.01188,648.8068,98
8,4,299,31270140.0,81.998,0,7,6.3286,2,4,1,0.00503,739.625,99
8,4,188,6850585.0,17.778,2,7,6.3286,2,4,1,0.00503,728.2692,100
7,3,357,5183080.0,12.538,0,7,6.3286,2,3,1,0.00503,718.9635,101
3,2,358,8668445.0,22.776,0,3,4.0083,1,3,1,0.0019,709.975,102
7,3,204,58316684.9,89.342,10,14,15.008,2,3,2,0.01106,672.6731,103
11,4,149,4861124.08,20.837,3,38,32.9033,3,3,3,0.03031,659.9904,104
11,4,427,1686060.0,6.439,0,38,32.9033,3,3,3,0.03031,654.2708,105
11,4,64,1507804.0,4.898,7,38,32.9033,3,3,3,0.03031,652.3882,106
7,3,407,236390904.0,648.327,15,13,1.2317,2,3,1,0.0087,644.9408,107
7,3,597,779319400.0,2168.4,11,13,1.2317,2,3,1,0.0087,642.7083,108
8,4,53,0.0,0.0,0,17,50.5926,2,4,3,0.01743,740.3068,109
12,5,418,3997241.0,8.572,4,44,47.3131,3,4,3,0.0363,730.0417,110
3,2,811,3011660.0,4.639,0,3,0.0125,1,3,1,0.00143,705.3059,111
3,2,403,6068628.102,17.352,7,1,0.0125,1,3,1,0.0,683.1615,112
7,3,183,57461726.0,185.403,4,9,13.2264,2,3,2,0.00728,673.4653,113
11,4,451,38221990.0,159.547,5,38,32.9033,3,3,3,0.03031,662.4712,114
7,3,175,13979347.32,37.268,7,13,1.2317,2,3,1,0.0087,639.4837,115
8,4,52,31419710.0,252.719,3,13,17.2587,2,4,2,0.01061,748.2321,116
4,3,218,29392.9,0.286,1,1,180.0,1,4,4,0.02143,735.3393,117
7,3,513,17361431.9,51.528,1,16,26.3273,2,3,3,0.01383,693.8125,118
7,3,680,47593333.0,92.423,8,16,26.3273,2,3,3,0.01383,682.0968,119
3,2,208,2630122.0,9.656,4,4,4.5094,1,3,1,0.00268,663.7847,120
7,3,214,2058400.0,9.678,0,18,2.8219,2,3,1,0.01246,648.7083,121
7,3,322,2383080.0,8.239,1,18,2.8219,2,3,1,0.01246,641.1645,122
6,3,65,48310.102,0.262,3,13,13.3942,2,2,2,0.01015,636.375,123
6,3,105,1489104.797,8.702,1,13,13.3942,2,2,2,0.01015,634.3542,124
10,3,320,3088780.0,8.694,1,62,60.8038,3,2,3,0.05075,628.2381,125
4,3,68,5363350.199,19.933,3,1,9.0,1,4,2,0.00107,736.8828,126
7,3,66,588632.0,2.348,0,10,57.0075,2,3,3,0.0132,720.75,127
3,2,184,31565027.0,48.205,6,1,0.0125,1,3,1,0.0,675.5313,128
6,3,93,18088660.0,85.121,4,13,13.3942,2,2,2,0.01015,631.1771,129
10,3,127,196552200.0,451.762,6,62,60.8038,3,2,3,0.05075,618.4091,130
15,5,351,14335102.0,41.769,5,93,49.9825,4,3,3,0.07157,709.8882,131
15,5,269,0.0,0.0,3,93,49.9825,4,3,3,0.07157,698.8125,132
15,5,160,5139187.6,18.541,3,93,49.9825,4,3,3,0.07157,689.5391,133
11,4,201,6789362.98,15.311,11,22,84.7574,3,3,4,0.02507,674.0402,134
11,4,423,10669767.0,20.362,8,22,84.7574,3,3,4,0.02507,671.5847,135
3,2,302,12344487.4,31.595,3,3,0.0125,1,3,1,0.00143,659.6719,136
7,3,819,16167427.0,28.753,9,5,36.01,2,3,3,0.00714,651.489,137
3,2,358,12190615.0,33.836,2,4,0.0125,1,3,1,0.00214,654.4524,138
11,4,180,14930678.0,44.439,2,26,17.1918,3,3,2,0.01988,645.5673,139
