Grupo,Cat_Ench,Cat_Precip,Frecuencia,Volumen,Precipitac,Ingreso,Rezago,Población,Capacidad,Densidad,Conectivid,Severida50,Severida90,Severida75,id
15,4,3,702,15.70241,682.77885,0.62,3,2228,,,,0.50187,0.10336,0.2528,55
15,4,3,702,15.70241,675.0,0.58,3,2645,1346060.0,8.10459,2.0,0.50187,0.10336,0.2528,56
3,1,3,2,0.0125,657.04464,0.65,3,5070,37167654.0,162.93483,,0.00071,0.00014,0.00036,57
15,4,3,702,15.70241,667.24107,0.52,3,2218,12091110.0,56.01038,,0.50187,0.10336,0.2528,58
7,2,3,16,11.16406,645.6875,0.68,3,4267,10538920.0,60.50203,1.0,0.01203,0.00453,0.00734,59
15,4,3,702,15.70241,660.06944,0.39,2,5291,62335350.0,382.75074,,0.50187,0.10336,0.2528,60
7,2,3,16,11.16406,651.27344,0.67,3,4103,25109700.0,130.62721,,0.01203,0.00453,0.00734,61
16,4,4,127,16.87522,745.20833,0.83,3,3060,3590659.0,16.18753,3.0,0.09188,0.02159,0.04795,62
16,4,4,127,16.87522,740.775,0.8,3,768,,,,0.09188,0.02159,0.04795,63
16,4,4,186,10.94665,740.13194,0.79,3,1327,1433675.0,5.33502,1.0,0.13326,0.02873,0.06793,64
16,4,4,186,10.94665,726.67308,0.7,3,1165,9666650.0,40.73828,,0.13326,0.02873,0.06793,65
4,1,4,1,0.0125,725.50735,0.78,3,2959,11313176.1,48.77495,,0.0,0.0,0.0,66
15,4,3,702,15.70241,681.31944,0.57,3,3446,5947260.0,26.26298,,0.50187,0.10336,0.2528,67
3,1,3,2,12.00625,697.29605,0.71,3,3316,42485333.0,135.7474,7.0,0.00214,0.00271,0.0025,68
15,4,3,702,15.70241,665.1,0.49,3,2365,20907435.0,94.30968,3.0,0.50187,0.10336,0.2528,69
7,2,3,11,5.51705,704.11957,0.8,3,6395,25228080.0,70.21328,2.0,0.00779,0.00261,0.00455,70
16,4,4,186,10.94665,742.57292,0.79,3,1432,1261255.92,9.58252,3.0,0.13326,0.02873,0.06793,71
7,2,3,12,38.50729,688.53125,0.66,3,3921,7797375.2,36.63719,4.0,0.01243,0.00982,0.0108,72
16,4,4,265,7.71165,736.70312,0.75,3,3040,,,,0.18922,0.03931,0.09553,73
7,2,3,12,38.50729,688.43382,0.76,3,6048,75638560.0,229.00728,3.0,0.01243,0.00982,0.0108,74
15,4,3,265,7.71165,723.95652,0.76,3,2936,15228510.0,47.0893,2.0,0.18922,0.03931,0.09553,75
7,2,3,9,111.41944,692.65,0.78,3,4623,148873880.0,469.71921,8.0,0.01897,0.02501,0.02275,76
15,4,3,265,7.71165,714.27404,0.71,3,5041,73856510.0,188.42345,2.0,0.18922,0.03931,0.09553,77
15,4,3,198,10.01578,695.42188,0.71,3,6373,73477356.0,203.00863,,0.1417,0.03025,0.07204,78
3,1,3,1,36.0,668.27232,0.67,3,3013,16343442.1,40.50896,8.0,0.00428,0.00771,0.00643,79
15,4,3,188,8.10979,687.11979,0.64,3,4347,10383555.0,29.09897,5.0,0.13434,0.02841,0.06814,80
3,1,3,2,4.00625,656.79808,0.66,3,4698,23500200.0,113.04693,,0.00119,0.001,0.00107,81
15,4,3,188,8.10979,678.3,0.65,3,2026,7594740.0,27.07334,,0.13434,0.02841,0.06814,82
3,1,3,3,16.0,652.89773,0.63,3,3187,13221792.4,88.39863,,0.00333,0.00371,0.00357,83
11,3,3,40,19.4925,670.93125,0.64,3,5036,8207890.0,28.56949,,0.03014,0.00974,0.01739,84
3,1,3,4,0.40937,649.03125,0.64,3,3243,12809100.0,87.38931,,0.00219,0.00051,0.00114,85
7,2,3,14,15.47857,664.74432,0.65,3,6023,49650196.0,172.07772,9.0,0.01111,0.00517,0.0074,86
7,2,3,16,8.07031,647.66667,0.62,3,4210,9968870.0,46.95792,,0.01166,0.00387,0.00679,87
16,4,4,265,7.71165,751.77778,0.79,3,2303,,,,0.18922,0.03931,0.09553,88
8,2,4,7,82.32179,742.32692,0.62,3,4637,1144680.0,5.40182,3.0,0.01408,0.01849,0.01684,89
16,4,4,265,7.71165,735.95833,0.81,3,1253,5930080.0,29.07609,,0.18922,0.03931,0.09553,90
8,2,4,7,82.32179,751.89583,0.57,3,5002,1882186.0,10.61832,,0.01408,0.01849,0.01684,91
16,4,4,265,7.71165,726.875,0.72,3,2127,9520190.0,56.20916,,0.18922,0.03931,0.09553,92
8,2,4,7,82.32179,750.28125,0.55,3,4351,,,1.0,0.01408,0.01849,0.01684,93
15,4,3,265,7.71165,714.925,0.75,3,5904,12039800.0,33.25734,,0.18922,0.03931,0.09553,94
8,2,4,7,82.32179,758.51667,0.56,3,5097,831961.0,4.25347,,0.01408,0.01849,0.01684,95
