POB_S_AGUA,AREA_GEO,CAPACITY_W,DENSITY_WE,TOTAL_DEGR,WEGHITED_T,WEIGHTED_B,WEIGHTED_1,Frecuencia,Volumen,FrecCateg,PrecCateg,VolCateg,ProbaFP,ProbaVP,NormaFrec,NormaVol,IS50,IS90,IS75,Grupos,Grupos2,Precipitac,id
235,47448.54449,0.0,0.0,0,0.0,0.0,0.0,2,60.0,1,1,3,0.153996101,0.269005848,0.001426534,0.014282781,0.007854657,0.012997156,0.011068719,1,1,493.875,27
221,1311639.348,92742.60156,0.070707395,3,0.00263411,0.0,3.44e-05,2,0.0125,1,2,1,0.23046875,0.2578125,0.001426534,0.0,0.000713267,0.000142653,0.000356633,2,2,591.6830357,28
182,1046116.89,6717966.0,6.421812,1,0.036995489,0.00548697,9.02e-06,1,480.0,1,1,4,0.153996101,0.401559454,0.0,0.114283078,0.057141539,0.10285477,0.085712309,1,1,512.6855469,29
9,21014.08017,0.0,0.0,0,0.0,0.0,0.0,1,480.0,1,1,4,0.153996101,0.401559454,0.0,0.114283078,0.057141539,0.10285477,0.085712309,1,1,522.375,30
416,949461.7171,0.0,0.0,0,0.0,0.0,0.0,2,0.0125,1,2,1,0.23046875,0.2578125,0.001426534,0.0,0.000713267,0.000142653,0.000356633,2,2,616.0184426,31
20,77153.71688,0.0,0.0,0,0.0,0.0,0.0,2,0.0125,1,2,1,0.23046875,0.2578125,0.001426534,0.0,0.000713267,0.000142653,0.000356633,2,2,593.1875,32
94,43752.8593,0.0,0.0,0,0.0,0.0,0.0,1,2250.0,1,3,4,0.214424951,0.18128655,0.0,0.535712904,0.267856452,0.482141614,0.401784678,2,3,653.0625,33
206,483590.6954,3458560.0,7.15183322,0,0.0,0.0,0.0,2,0.0125,1,1,1,0.153996101,0.153996101,0.001426534,0.0,0.000713267,0.000142653,0.000356633,1,1,546.7321429,34
80,531505.4748,5133468.0,9.658353946,3,0.044828391,0.0109739,0.000234596,1,0.0125,1,1,1,0.153996101,0.153996101,0.0,0.0,0.0,0.0,0.0,1,1,535.2006579,35
79,23587.92697,0.0,0.0,0,0.0,0.0,0.0,2,0.0125,1,1,1,0.153996101,0.153996101,0.001426534,0.0,0.000713267,0.000142653,0.000356633,1,1,563.5625,36
1098,1093181.991,1051865.0,0.962204838,2,0.009932869,0.0103738,7.09e-06,1,2250.0,1,3,4,0.214424951,0.18128655,0.0,0.535712904,0.267856452,0.482141614,0.401784678,2,3,656.7725694,37
1896,1565614.688,218650.8984,0.13965818,4,0.026699465,0.111111,0.000257583,1,2250.0,1,3,4,0.214424951,0.18128655,0.0,0.535712904,0.267856452,0.482141614,0.401784678,2,3,676.5580808,38
1328,523215.283,0.0,0.0,0,0.0,0.0,0.0,1,2250.0,1,3,4,0.214424951,0.18128655,0.0,0.535712904,0.267856452,0.482141614,0.401784678,2,3,670.0887097,39
27,255071.7613,0.0,0.0,0,0.0,0.0,0.0,1,120.0,1,1,4,0.153996101,0.401559454,0.0,0.028568537,0.014284269,0.025711684,0.021426403,1,1,546.3088235,40
57,130516.4139,0.0,0.0,0,0.0,0.0,0.0,14,51.46428571,2,4,3,0.340466926,0.229571984,0.018544936,0.012250462,0.015397699,0.012879909,0.01382408,4,8,818.890625,41
193,240214.1001,64987182.0,270.5385819,7,0.199923855,1.084791,6.44e-07,14,51.46428571,2,4,3,0.340466926,0.229571984,0.018544936,0.012250462,0.015397699,0.012879909,0.01382408,4,8,806.9017857,42
145,316701.0825,2079089.0,6.564830734,0,0.0,0.0,0.0,4,13.13125,1,4,2,0.30155642,0.215953307,0.004279601,0.003123521,0.003701561,0.003239129,0.003412541,3,4,839.7720588,43
653,288244.4739,29778840.0,103.3110526,0,0.0,0.0,0.0,14,80.50535714,2,4,4,0.340466926,0.233463035,0.018544936,0.019165023,0.018854979,0.019103014,0.019010001,4,8,828.8920455,44
66,158547.6874,16949981.0,106.9077782,3,0.012570453,0.0,0.0,14,51.46428571,2,4,3,0.340466926,0.229571984,0.018544936,0.012250462,0.015397699,0.012879909,0.01382408,4,8,810.3295455,45
370,209589.4917,53314238.0,254.3745756,6,0.187742717,0.4723076,4.62e-05,11,5.829545455,2,4,1,0.340466926,0.321011673,0.014265335,0.001385015,0.007825175,0.002673047,0.004605095,4,8,798.3416667,46
86,97661.35105,0.0,0.0,0,0.0,0.0,0.0,8,0.0671875,2,4,1,0.340466926,0.321011673,0.009985735,1.3e-05,0.004999378,0.001010292,0.002506199,4,8,839.0178571,47
225,193687.6829,11620517.0,59.99615889,7,0.129841097,0.0,1.8e-05,8,0.0671875,2,4,1,0.340466926,0.321011673,0.009985735,1.3e-05,0.004999378,0.001010292,0.002506199,4,8,838.3,48
81,317684.8654,9450497.0,29.748024,4,0.049526375,0.0,0.001779022,11,62.73181818,2,4,3,0.340466926,0.229571984,0.014265335,0.014933215,0.014599275,0.014866427,0.014766245,4,8,815.9891304,49
1108,784967.7578,149162060.8,190.0231689,7,0.043447122,0.03566531,0.000159835,1,27.0,1,4,3,0.30155642,0.229571984,0.0,0.006425614,0.003212807,0.005783053,0.004819211,3,4,797.07,50
108,168320.2192,0.0,0.0,0,0.0,0.0,0.0,2,0.0125,1,4,1,0.30155642,0.321011673,0.001426534,0.0,0.000713267,0.000142653,0.000356633,3,4,843.84375,51
42,94447.31076,0.0,0.0,0,0.0,0.0,0.0,1,0.0125,1,4,1,0.30155642,0.321011673,0.0,0.0,0.0,0.0,0.0,3,4,850.8125,52
194,268785.3161,663582.0,2.468817901,2,0.051501298,0.0670439,0.0,4,1.509375,1,4,1,0.30155642,0.321011673,0.004279601,0.0003564,0.002318,0.00074872,0.0013372,3,4,819.8392857,53
38,191512.6733,18657400.0,97.42122896,0,0.0,0.0,0.0,7,157.4321429,2,4,4,0.340466926,0.233463035,0.008559201,0.037480979,0.02302009,0.034588801,0.030250534,4,8,920.8611111,54
58,177284.2333,12907800.0,72.80850507,0,0.0,0.0,0.0,16,108.7148438,2,4,4,0.340466926,0.233463035,0.021398003,0.025881587,0.023639795,0.025433229,0.024760691,4,8,907.6458333,55
203,239712.439,16083999.0,67.09705625,3,0.511982014,0.0,2.51e-05,2,0.0125,1,4,1,0.30155642,0.321011673,0.001426534,0.0,0.000713267,0.000142653,0.000356633,3,4,923.09375,56
49,129290.7096,54542.19922,0.421857065,0,0.0,0.0,0.0,1,18.0,1,4,2,0.30155642,0.215953307,0.0,0.004282751,0.002141375,0.003854476,0.003212063,3,4,887.4375,57
44,71177.5746,0.0,0.0,0,0.0,0.0,0.0,8,0.0125,2,4,1,0.340466926,0.321011673,0.009985735,0.0,0.004992867,0.000998573,0.002496434,4,8,856.75,58
44,66471.54751,501024.0,7.537420427,0,0.0,0.0,0.0,8,0.0125,2,4,1,0.340466926,0.321011673,0.009985735,0.0,0.004992867,0.000998573,0.002496434,4,8,849.075,59
