Frecsuma,VolMax,Volprom,Impercepti,Insuficien,Obstrucci,Hundimient,Falta de i,Falta Bomb,Ruptura,id
6,450.0,108.8395833,3,3,0,0,0,0,0,113
34,105.0,9.701838235,17,7,10,0,0,0,0,114
2,0.0125,0.0125,2,0,0,0,0,0,0,115
19,640.0,124.1098684,7,9,3,0,0,0,0,116
1,128.0,128.0,0,1,0,0,0,0,0,117
18,420.0,93.06111111,8,8,2,0,0,0,0,118
74,210.0,22.11469595,37,19,16,1,1,0,0,119
44,126.0,11.27744318,26,4,14,0,0,0,0,120
94,2700.0,104.7675532,51,33,8,0,2,0,0,121
6,6.0,1.010416667,5,1,0,0,0,0,0,122
10,320.0,45.0075,6,2,2,0,0,0,0,123
11,112.0,25.22272727,4,4,3,0,0,0,0,124
23,450.0,85.29293478,11,6,6,0,0,0,0,125
5,12.0,4.8075,3,2,0,0,0,0,0,126
1,250.0,250.0,0,0,1,0,0,0,0,127
43,2880.0,128.1127907,24,13,6,0,0,0,0,128
1,0.6,0.6,0,0,1,0,0,0,0,129
1,0.0125,0.0125,1,0,0,0,0,0,0,130
19,90.0,9.430263158,14,3,2,0,0,0,0,131
6,0.0125,0.0125,6,0,0,0,0,0,0,132
2,8.0,4.00625,1,1,0,0,0,0,0,133
38,216.0,18.55460526,21,8,9,0,0,0,0,134
29,800.0,114.1590517,9,12,6,1,0,1,0,135
40,240.0,19.4925,16,6,15,2,1,0,0,136
1,0.0125,0.0125,1,0,0,0,0,0,0,137
4,4.0,1.40625,2,1,0,1,0,0,0,138
8,36.0,9.00625,5,2,1,0,0,0,0,139
77,8000.0,141.4426948,44,27,6,0,0,0,0,140
7,0.0125,0.0125,7,0,0,0,0,0,0,141
1,0.0125,0.0125,1,0,0,0,0,0,0,142
21,432.0,138.8607143,6,14,0,0,1,0,0,143
9,576.0,186.2277778,4,5,0,0,0,0,0,144
7,192.0,50.29107143,3,4,0,0,0,0,0,145
66,1200.0,279.4617424,14,50,2,0,0,0,0,146
1,0.0125,0.0125,1,0,0,0,0,0,0,147
2,0.0125,0.0125,2,0,0,0,0,0,0,148
3,0.0125,0.0125,3,0,0,0,0,0,0,149
1,0.0125,0.0125,1,0,0,0,0,0,0,150
21,72.0,8.322619048,14,3,3,1,0,0,0,151
1,96.0,96.0,0,1,0,0,0,0,0,152
3,12.0,4.008333333,2,0,1,0,0,0,0,153
3,60.0,20.00833333,2,1,0,0,0,0,0,154
8,18.0,3.0265625,5,1,2,0,0,0,0,155
5,24.0,5.4075,3,1,1,0,0,0,0,156
53,1248.0,111.8087264,17,32,3,1,0,0,0,157
2,90.0,45.00625,1,0,1,0,0,0,0,158
1,160.0,160.0,0,1,0,0,0,0,0,159
4,1.6,0.409375,3,0,1,0,0,0,0,160
10,720.0,84.08875,7,2,1,0,0,0,0,161
29,54.0,2.132327586,27,2,0,0,0,0,0,162
2,0.15,0.08125,1,0,1,0,0,0,0,163
3,225.0,75.5,0,2,1,0,0,0,0,164
9,300.0,49.78611111,6,3,0,0,0,0,0,165
10,60.0,8.7075,6,1,3,0,0,0,0,166
21,160.0,13.50654762,11,5,5,0,0,0,0,167
5,12.0,4.0075,3,2,0,0,0,0,0,168
13,24.0,2.557692308,10,1,2,0,0,0,0,169
22,100.0,11.27545455,16,4,2,0,0,0,0,170
270,960.0,27.81166667,124,76,64,6,0,0,0,171
9,360.0,81.78472222,5,4,0,0,0,0,0,172
3,30.0,13.00416667,1,0,2,0,0,0,0,173
46,72.0,6.35,28,5,11,0,0,2,0,174
1,0.0125,0.0125,1,0,0,0,0,0,0,175
6,18.0,3.010416667,5,0,1,0,0,0,0,176
1,0.0125,0.0125,1,0,0,0,0,0,0,177
1,0.0125,0.0125,1,0,0,0,0,0,0,178
2,12.0,6.00625,1,0,1,0,0,0,0,179
2,0.0125,0.0125,2,0,0,0,0,0,0,180
1,120.0,120.0,0,1,0,0,0,0,0,181
14,200.0,14.29732143,13,1,0,0,0,0,0,182
28,560.0,162.0008929,2,23,2,1,0,0,0,183
1,96.0,96.0,0,1,0,0,0,0,0,184
1,6.0,6.0,0,0,1,0,0,0,0,185
24,360.0,20.75520833,18,1,5,0,0,0,0,186
8,400.0,129.003125,2,5,1,0,0,0,0,187
1,0.0125,0.0125,1,0,0,0,0,0,0,188
10,96.0,12.31,8,1,1,0,0,0,0,189
17,300.0,36.00808824,11,3,3,0,0,0,0,190
2,84.0,60.0,0,2,0,0,0,0,0,191
73,4500.0,94.57,36,28,9,0,0,0,0,192
5,240.0,90.9025,1,4,0,0,0,0,0,193
1,0.0125,0.0125,1,0,0,0,0,0,0,194
3,0.0125,0.0125,3,0,0,0,0,0,0,195
19,60.0,8.640789474,14,2,3,0,0,0,0,196
82,30000.0,673.2265244,6,73,3,0,0,0,0,197
131,2240.0,113.816126,57,62,7,3,2,0,0,198
1,1200.0,1200.0,0,0,1,0,0,0,0,199
11,12.0,2.503409091,7,1,3,0,0,0,0,200
2,0.0125,0.0125,2,0,0,0,0,0,0,201
1,9.0,9.0,0,0,0,0,1,0,0,202
3,24.0,8.504166667,1,0,2,0,0,0,0,203
1,3.0,3.0,0,0,1,0,0,0,0,204
3,0.0125,0.0125,3,0,0,0,0,0,0,205
21,560.0,87.0077381,13,8,0,0,0,0,0,206
3,0.0125,0.0125,3,0,0,0,0,0,0,207
33,180.0,12.17348485,25,4,4,0,0,0,0,208
1,0.0125,0.0125,1,0,0,0,0,0,0,209
13,768.0,148.5048077,5,7,1,0,0,0,0,210
3,60.0,36.67083333,1,1,0,0,1,0,0,211
2,45.0,22.50625,1,0,1,0,0,0,0,212
7,750.0,153.7178571,2,5,0,0,0,0,0,213
17,1050.0,199.4727941,3,14,0,0,0,0,0,214
33,400.0,28.52348485,22,8,3,0,0,0,0,215
3,45.0,20.00416667,1,1,1,0,0,0,0,216
15,48.0,6.809166667,11,2,2,0,0,0,0,217
3,0.0125,0.0125,3,0,0,0,0,0,0,218
5,360.0,76.805,2,2,1,0,0,0,0,219
18,288.0,48.67569444,13,4,1,0,0,0,0,220
8,64.0,9.5453125,5,1,2,0,0,0,0,221
1,0.0125,0.0125,1,0,0,0,0,0,0,222
5,8.0,1.61,4,1,0,0,0,0,0,223
2,0.0125,0.0125,2,0,0,0,0,0,0,224
3,3.0,1.008333333,2,0,1,0,0,0,0,225
7,40.0,6.721428571,4,0,3,0,0,0,0,226
1,0.0125,0.0125,1,0,0,0,0,0,0,227
4,48.0,12.009375,3,1,0,0,0,0,0,228
5,45.0,19.005,3,0,2,0,0,0,0,229
16,720.0,99.38515625,13,3,0,0,0,0,0,230
4,480.0,162.003125,1,3,0,0,0,0,0,231
4,48.0,18.25625,2,1,1,0,0,0,0,232
9,31.5,7.508333333,6,2,1,0,0,0,0,233
17,315.0,88.39705882,4,10,3,0,0,0,0,234
4,90.0,25.88125,2,1,1,0,0,0,0,235
7,200.0,35.00714286,4,0,2,1,0,0,0,236
2,0.0125,0.0125,2,0,0,0,0,0,0,237
11,120.0,21.10795455,7,3,1,0,0,0,0,238
2,2.0,1.00625,1,0,1,0,0,0,0,239
11,192.0,24.07386364,5,4,2,0,0,0,0,240
1,12.0,12.0,0,1,0,0,0,0,0,241
25,600.0,44.6075,15,7,2,0,0,1,0,242
5,0.0125,0.0125,5,0,0,0,0,0,0,243
9,6.0,0.677777778,8,1,0,0,0,0,0,244
12,600.0,122.1708333,4,6,0,0,0,2,0,245
2,48.0,24.00625,1,1,0,0,0,0,0,246
50,600.0,43.82825,33,14,3,0,0,0,0,247
2,50.0,25.00625,1,0,1,0,0,0,0,248
7,0.0125,0.0125,7,0,0,0,0,0,0,249
17,192.0,20.90147059,10,1,6,0,0,0,0,250
2,0.0125,0.0125,2,0,0,0,0,0,0,251
17,320.0,37.25955882,8,8,0,0,1,0,0,252
11,240.0,62.73181818,4,2,5,0,0,0,0,253
27,80.0,6.490277778,20,4,3,0,0,0,0,254
1,0.0125,0.0125,1,0,0,0,0,0,0,255
1,0.0125,0.0125,1,0,0,0,0,0,0,256
3,54.0,24.00416667,1,1,1,0,0,0,0,257
2,0.0125,0.0125,2,0,0,0,0,0,0,258
5,1562.5,360.5075,3,2,0,0,0,0,0,259
10,180.0,61.055,4,5,1,0,0,0,0,260
9,60.0,6.677777778,8,0,1,0,0,0,0,261
24,600.0,61.2278125,15,6,3,0,0,0,0,262
20,1440.0,183.055625,9,10,1,0,0,0,0,263
1,0.0125,0.0125,1,0,0,0,0,0,0,264
2,0.0125,0.0125,2,0,0,0,0,0,0,265
12,240.0,34.33854167,4,6,2,0,0,0,0,266
8,480.0,100.0078125,5,2,1,0,0,0,0,267
48,880.0,67.15286458,27,17,3,1,0,0,0,268
6,144.0,64.00625,3,1,2,0,0,0,0,269
1,2250.0,2250.0,1,0,0,0,0,0,0,270
13,210.0,81.09326923,1,9,2,0,1,0,0,271
3,216.0,77.00416667,1,2,0,0,0,0,0,272
6,0.9,0.160416667,5,0,1,0,0,0,0,273
6,96.0,35.33958333,3,2,1,0,0,0,0,274
59,2000.0,174.3845339,15,43,0,0,0,1,0,275
1,320.0,320.0,0,1,0,0,0,0,0,276
1,0.0125,0.0125,1,0,0,0,0,0,0,277
9,120.0,13.34444444,8,1,0,0,0,0,0,278
2,45.0,22.50625,1,0,1,0,0,0,0,279
5,90.0,18.4075,3,0,1,1,0,0,0,280
75,525.0,111.5105,13,55,5,0,2,0,0,281
4,80.0,20.009375,3,1,0,0,0,0,0,282
6,56.0,9.34375,5,1,0,0,0,0,0,283
8,96.0,31.00625,4,4,0,0,0,0,0,284
8,40.0,11.2578125,5,3,0,0,0,0,0,285
1,0.0125,0.0125,1,0,0,0,0,0,0,286
30,40.0,4.515833333,21,1,7,0,1,0,0,287
2,0.0125,0.0125,1,1,0,0,0,0,0,288
5,0.0125,0.0125,5,0,0,0,0,0,0,289
1,0.0125,0.0125,1,0,0,0,0,0,0,290
10,108.0,13.81,8,2,0,0,0,0,0,291
4,120.0,30.009375,3,1,0,0,0,0,0,292
1,480.0,480.0,0,1,0,0,0,0,0,293
11,120.0,15.57727273,8,3,0,0,0,0,0,294
