name,resili_a,resili_b,resili_c,resili_d,resili_e,suscep_a,suscep_b,suscep_c,suscep_d,suscep_e,exposi,resili,suscep,vulnera,exposi_a,exposi_b,exposi_c,exposi_d,id
AMPL BENITO JUAREZ,0.035325811541948,0.152089062469299,0.60146,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.028572450403798,0.0928,0.246,0.383,0.214,0.308,0.152,0.0,0.165,0.628,1593
BENITO JUAREZ,0.035325811541948,0.152089062469299,0.60146,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.028572450403798,0.0928,0.173,0.383,0.214,0.252,0.152,0.0,0.165,0.348,1594
EL ARBOLILLO,0.035325811541948,0.152089062469299,0.60146,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.028572450403798,0.0928,0.161,0.383,0.214,0.242,0.152,0.0,0.165,0.303,1595
LUIS E RODRIGUEZ OROZCO,0.027801191029411,0.157636565288233,0.60945,0.733494109833587,0.623970978707279,0.947,0.000775177424027,0.0,0.002547630232074,0.0417,0.085,0.386,0.198,0.164,0.158,0.0,0.165,0.001,1596
LA PASTORA,0.027801191029411,0.157636565288233,0.60945,0.733494109833587,0.623970978707279,0.947,0.000775177424027,0.0,0.002547630232074,0.0417,0.085,0.386,0.198,0.164,0.158,0.0,0.165,0.001,1597
EL ARBOLILLO II CROC,0.027801191029411,0.157636565288233,0.60945,0.733494109833587,0.623970978707279,0.947,0.000775177424027,0.0,0.002547630232074,0.0417,0.085,0.386,0.198,0.164,0.158,0.0,0.165,0.001,1598
JORGE NEGRETE,0.026501055653915,0.16525036657231,0.63888,0.733494109833587,0.623970978707279,0.947,0.78842689792531,0.0,0.006540342110264,0.1037,0.291,0.395,0.369,0.486,0.165,0.0,0.165,0.788,1599
ACUEDUCTO DE GUADALUPE,0.02189398276827,0.192981876429782,0.84235,0.733494109833587,0.659261971278421,0.947,0.0,0.0,0.049814095832575,0.1437,0.247,0.453,0.228,0.254,0.193,0.0,0.165,0.59,1600
SEDENA,0.015758074082249,0.187056947442865,0.84094,0.733494109833587,0.610878745506221,0.947,0.0,0.0,0.04552318866113,0.1849,0.216,0.44,0.235,0.25,0.187,0.0,0.165,0.479,1601
BUGAMBILIAS DE TICOMAN,0.015758074082249,0.187056947442865,0.84094,0.733494109833587,0.610878745506221,0.947,0.0,0.0,0.04552318866113,0.1849,0.092,0.44,0.235,0.154,0.187,0.0,0.165,0.001,1602
ZONA RES ACUEDUCTO DE GUADALUPE,0.015758074082249,0.187056947442865,0.84094,0.733494109833587,0.610878745506221,0.947,0.0,0.0,0.04552318866113,0.1849,0.127,0.44,0.235,0.18,0.187,0.0,0.165,0.14,1603
MOSAIQUERA,0.01839988925027,0.181928587369924,0.79007,0.733494109833587,0.582581129647505,0.947,0.009422249694185,0.0,0.03702948566959,0.1189,0.092,0.422,0.222,0.158,0.182,0.0,0.165,0.009,1604
LA CANDELARIA TICOMAN,0.041495268617914,0.172117294560575,0.61273,0.733494109833587,0.623970978707279,0.947,0.999999999999987,0.0,0.012249883118264,0.0519,0.347,0.394,0.402,0.564,0.172,0.0,0.165,1.0,1605
SAN JUAN TICOMAN,0.019874588448593,0.160875583963048,0.54881,0.733494109833587,0.623970978707279,0.947,0.988605159574872,0.0,0.010032039336823,0.0614,0.299,0.374,0.401,0.546,0.161,0.0,0.0,0.989,1606
SANTA ROSA,0.054225848086458,0.224161438248049,0.82387,0.733494109833587,0.659261971278421,0.947,0.0,0.0,0.096236045305085,0.3122,0.257,0.465,0.271,0.292,0.224,0.0,0.165,0.6,1607
SAN JOSE DE LA ESCALERA,0.054225848086458,0.224161438248049,0.82387,0.733494109833587,0.659261971278421,0.947,0.0,0.0,0.096236045305085,0.3122,0.13,0.465,0.271,0.194,0.224,0.0,0.165,0.109,1608
PROGRESO NACIONAL,0.050742781361985,0.216181078191136,0.73318,0.733494109833587,0.659261971278421,0.947,0.0,0.0,0.000215479940901,0.1425,0.257,0.443,0.218,0.262,0.216,0.0,0.165,0.608,1609
GUADALUPE PROLETARIA,0.043759368886717,0.211156984378235,0.67324,0.733494109833587,0.659261971278421,0.947,0.0,0.0,0.029906546692595,0.0781,0.194,0.429,0.211,0.218,0.211,0.0,0.165,0.369,1610
SANTIAGO ATEPETLAC,0.043759368886717,0.211156984378235,0.67324,0.733494109833587,0.659261971278421,0.947,0.0,0.0,0.029906546692595,0.0781,0.199,0.429,0.211,0.222,0.211,0.0,0.165,0.39,1611
MODULAR DE ACUEDUCTO,0.072406929368827,0.196250826304871,0.91159,0.733494109833587,0.614866036829687,0.947,0.001197583930934,0.0,0.115449363846123,0.1667,0.094,0.464,0.246,0.142,0.196,0.0,0.165,0.001,1612
