Población,Precipitación,"Edad infra","Índice ingreso","Falla infra","Presión mediática","Falta infra","Escasez",Hundimiento,"Enfermedades gastro","Sin drenaje","Sin agua",Encharcamientos,id
2926,748,50,0.807629118,0.5,0.125,0.0625,0.0625,0,1.52249,0.3927,0.6553,1.5569981721,6426
3688,748,50,0.661847048,0.5,0.125,0.0625,0.0625,0,2.08568,0,0.5165,3.2193230829,6399
3765,753,50,0.653118022,0.5,0.0625,0.0625,0.0625,0,2.13619,0,0,0.613210867,6397
6493,754,50,0.699211217,0.5,0.125,0.125,0.0625,0,25.29744,0,0,0.9716267352,6364
4143,751,50,0.600858242,0.5,0.125,0.125,0.0625,1,15.92513,0,0,4.6454205932,6351
4268,748,50,0.586312455,0.5,0.0625,0.0625,0.0625,1,0.82737,0,0,4.9585625135,6335
6372,757,50,0.680562131,1,0.125,0.125,0.0625,0,2.89359,0,0.3586,0.6200717468,6418
2655,755,50,0.691826321,1,0.0625,0.0625,0.0625,1,1.65776,0,0,0.5231990832,6416
4727,756,50,0.775780709,1,0.125,0.125,0.0625,1,2.9836,0,0.2262,2.9383532259,6417
3638,756,50,0.676834113,0.5,0.125,0.0625,0.0625,1,0.72984,0,0,0.6841028768,6391
4293,745,50,0.597097576,0.5,0.0625,0.0625,0.0625,1,0.77049,0.4476,0.7149,8.0981825423,6524
5734,756,50,0.690635937,0.5,0.125,0.0625,0.0625,0,2.51923,0,0.2075,2.1676224286,6380
4606,757,50,0.704045318,0.5,0.0625,0.125,0.0625,0,2.07113,0,0,1.0208470485,6508
5158,755,50,0.682624131,0.5,0.0625,0.125,0.0625,0,2.29817,0,0,0.48998295,6363
2673,756,50,0.688267916,0.5,0.125,0.0625,0.0625,0,1.19352,0,0,2.7938918807,6362
2922,750,50,0.763200909,1,0.0625,0.0625,0.0625,1,1.844,0,0,2.2755254593,6407
3885,748,50,0.781515886,1,0.125,0.0625,0.0625,1,0.77745,0,0,11.7980761791,6371
3207,753,50,0.66615664,1,0.0625,0.0625,0.0625,1,0.6157,0,0,1.6830045921,6375
3121,751,50,0.71446988,1,0.0625,0.0625,0.0625,1,0.63122,0,0,0.5256304115,6374
2148,751,50,0.589212782,1,0.0625,0.0625,0.0625,1,1.17938,0,0,2.6051940307,6526
5334,754,50,0.629701289,0.5,0.25,0.125,0.0625,1,8.59974,0,0,6.0825603817,6349
2536,744,50,0.72682146,0.5,0.0625,0.0625,0.0625,1,2.50311,0,0,1.2261360072,6481
2276,744,50,0.740743466,0.5,0.0625,0.0625,0.0625,1,2.21764,0,0,1.8373853338,6506
2681,745,50,0.780220555,0.5,0.0625,0.0625,0.0625,1,2.58484,0,0,0.0016451521,6485
3076,746,50,0.765692144,0.5,0.0625,0.0625,0.0625,1,2.88314,0,0.3567,0.3106591591,6487
5526,749,50,0.583450669,0.5,0.125,0.0625,0.0625,1,5.36447,0.2105,0.3501,0.5524428032,6300
3158,755,50,0.660714412,1,0.0625,0.0625,0.0625,1,0.62198,0,0,1.6971548756,6377
1270,754,50,0.081930727,1,0.0625,0.0625,0.0625,1,0.25812,0,0,0.8668481165,6376
5397,747,50,0.596605102,0.5,0.0625,0.0625,0.0625,1,8.71215,0,0,9.1486408413,6316
8202,727,50,0.638319076,0.5,0.25,0.125,0.0625,1,2.07838,0,0.4239,0.7121156182,6519
4849,756,50,0.691419742,1,0.0625,0.0625,0.0625,0,0.65021,0,0.2463,2.9799484193,6509
3836,746,50,0.664348429,0.5,0.25,0.0625,0.0625,1,4.63633,0,0,2.0421899389,6281
7254,756,50,0.677453453,1,0.25,0.0625,0.0625,0,4.21893,0,0,0.5925027045,6419
5891,755,50,0.501880623,0.5,0.0625,0.0625,0.0625,1,3.21665,0,0,2.3990425059,6346
6830,753,50,0.626556458,1,0.25,0.0625,0.0625,1,1.34413,0,0.2152,43.4200774437,6359
2533,750,50,0.711414126,0.5,0.0625,0.0625,0.0625,1,2.47143,0,0,7.8047991696,6310
2311,743,50,0.746416111,0.5,0.0625,0.0625,0.0625,1,2.247,0,0,0.4014090964,6482
6423,750,50,0.634727217,0.5,0.25,0.125,0.0625,1,10.08672,0.1811,1.6354,3.7621194168,6334
4825,754,50,0.655693192,1,0.0625,0.0625,0.0625,1,0.9336,0,0,0.5889427785,6344
609,753,50,0.681851296,0.5,0.0625,0.0625,0.0625,1,0.05413,0,0,0.6233273946,6390
4357,752,50,0.713437534,1,0.125,0.0625,0.0625,1,2.7456,0,0,3.202756605,6411
2409,757,50,0.72506858,1,0.0625,0.0625,0.0625,0,1.08489,0,0,1.8961150727,6544
4312,751,50,0.639151036,0.5,0.25,0.0625,0.0625,1,7.05453,0,0,3.0626412233,6333
5624,744,50,0.644465537,0.5,0.0625,0.0625,0.0625,1,1.0468,0,0,9.5561692938,6525
5753,747,50,0.604261541,0.5,0.125,0.0625,0.0625,1,1.13704,0.2024,0,5.3213182133,6317
2332,755,50,0.71239394,1,0.0625,0.125,0.0625,1,1.05628,0,0,4.4753938467,6361
7100,757,50,0.762445129,0.5,0.0625,0.25,0.0625,1,2.55274,0,0,1.1420403202,6550
2862,756,50,0.673190592,1,0.0625,0.0625,0.0625,1,1.23119,0,0,0.7812456902,6378
5998,757,50,0,0.5,0.0625,0.25,0.0625,1,1.35891,0,0,1.1838804159,6393
2305,754,50,0.670428215,1,0.0625,0.0625,0.0625,1,1.4453,0,0,0.628638098,6413
4683,754,50,0.625599497,0.5,0.25,0.0625,0.0625,0,0.92834,0,0,2.7775775528,6381
6393,753,50,0.674536263,0.5,0.125,0.0625,0.0625,0,3.29072,0,0,1.873685578,6423
3574,751,50,0.6002559,0.5,0.0625,0.0625,0.0625,0,2.03982,0,0,2.8760703024,6398
4033,745,50,0.786887294,0.5,0.0625,0.0625,0.0625,0,2.11269,0,0,2.7585693794,6428
4581,753,50,0.748094943,1,0.125,0.0625,0.0625,1,2.85363,0,0,0.3164484643,6412
2711,754,50,0.691747652,1,0.0625,0.0625,0.0625,1,1.69884,0,0,1.8695416509,6415
4005,753,50,0.694961828,1,0.25,0.0625,0.0625,1,2.52643,0,0,0.8622694256,6414
2408,754,50,0.668218431,1,0.125,0.0625,0.0625,1,1.49742,0,0,1.3550477589,6434
5981,750,50,0.640988375,1,0.25,0.0625,0.0625,1,3.10294,0,0,2.6612934758,6448
3859,752,50,0.721890243,0.5,0.125,0.0625,0.0625,1,0.54962,0,0,1.7964801665,6450
2678,737,50,0.760036857,0.5,0.0625,0.0625,0.0625,1,1.34037,0,0,0.7142297412,6488
3901,750,50,0.66555925,1,0.0625,0.0625,0.0625,1,1.92622,0,0,1.6128215467,6447
2941,751,50,0.671326663,1,0.125,0.0625,0.0625,1,1.6234,0,0,0.1903418737,6432
2770,750,50,0.70478479,1,0.0625,0.0625,0.0625,1,1.38457,0,0,0.5403692802,6431
7870,752,50,0.637605653,1,0.125,0.0625,0.0625,1,1.51151,0.3372,0.1925,40.6784099113,6358
1563,745,50,0.781813223,1,0.0625,0.0625,0.0625,0,0.15862,0,0,7.8356709107,6320
2788,743,50,0.803200508,0.5,0.125,0.0625,0.0625,0,0.26926,0,0,3.6140440754,6323
1748,744,50,0.874090385,1,0.125,0.0625,0.0625,1,0.17697,0,0,4.957904317,6326
3143,756,50,0.733417834,1,0.0625,0.125,0.0625,0,1.3566,0,6.6362,1.1576852358,6543
3179,757,50,0.674289579,1,0.0625,0.0625,0.0625,0,0.44272,0,0.6242,0.879479356,6422
3284,750,50,0.75388593,0.5,0.0625,0.0625,0.0625,0,0.46324,0,0,1.4231001502,6451
4112,741,50,0.676384787,0.5,0.125,0.0625,0.0625,1,0.42272,0,0.3745,9.4487528128,6284
